ID,Power,Duration
4,400,218
8,428,158
9,341,144
12,464,139
13,318,208
1,375,185
3,400,205
5,417,156
6,480,127
7,430,161
11,266,261
14,485,131
15,348,161
16,476,185
4,360,298
8,377,353
9,307,262
12,394,394
13,270,642
1,338,391
3,360,506
5,375,280
6,408,447
7,387,313
11,242,457
14,412,424
15,296,377
16,428,323
4,340,600
8,340,492
9,280,438
12,376,623
13,286,413
1,319,457
3,340,557
5,342,555
6,384,683
7,340,722
11,286,200
14,398,614
15,284,535
16,405,679
4,328,667
8,325,518
9,269,512
12,,
13,,
1,308,727
3,328,1050
5,329,785
6,,
7,,
11,,
14,,
15,,
16,,
4,,
8,312,1049
9,,
12,,
13,,
1,,
3,,
5,,
6,,
7,,
11,,
14,,
15,,
16,,
